energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh,TimeLimit.truncated
-3.2498414877860737,-119.76113404951643,-6.4996829755721475,-9.580890723961314,1426.620495077293,9.580890723961314,-1.7955040848772772,4.556,False
-3.164739330600759,-117.02247759953619,-6.329478661201518,-9.361798207962895,1389.2622171206142,9.361798207962895,-1.7764127767389395,4.556,False
-3.10598071685772,-108.19412433671167,-6.21196143371544,-8.655529946936934,1363.4682690332395,8.655529946936934,-1.7132441014789197,4.556,False
-2.8729245146204065,-103.03918850330977,-5.745849029240813,-8.243135080264782,1261.1608931608457,8.243135080264782,-1.665523722831203,4.556,False
-3.7382153931258872,-106.32947275335968,-7.4764307862517745,-8.506357820268775,1641.0076352615833,8.506357820268775,-1.693598194930215,4.556,False
-3.5891104096592352,-106.72112532023151,-7.1782208193184704,-8.53769002561852,1575.553296601947,8.53769002561852,-1.7206268732579684,4.556,False
-3.6039088219571886,-108.60855264891886,-7.207817643914377,-8.68868421191351,1582.049526759082,8.68868421191351,-1.7560532480039954,4.556,False
-3.6118922467703523,-110.96340064411704,-7.2237844935407045,-8.877072051529364,1585.554103059856,8.877072051529364,-1.7847898673974234,4.556,False
-3.148697754311439,-112.2140820054907,-6.297395508622878,-8.977126560439256,1382.2202608917642,8.977126560439256,-1.7969451290086245,4.556,False
-3.545174547193249,-112.90694576762326,-7.090349094386498,-9.03255566140986,1556.266263034789,9.03255566140986,-1.79901948389499,4.556,False
-3.400129671242209,-118.97711965553283,-6.800259342484418,-9.518169572442627,1492.5942367173877,9.518169572442627,-1.837055344916293,4.556,False
-3.5265171123343255,-118.35080364547488,-7.053034224668651,-9.46806429163799,1548.0759931230577,9.46806429163799,-1.8328584117911761,4.556,False
-3.3979960660653035,-118.36056627480306,-6.795992132130607,-9.468845301984246,1491.657623382486,9.468845301984246,-1.8341995862820617,4.556,False
-3.2612016610670365,-115.99749361698915,-6.522403322134073,-9.279799489359132,1431.6074016975576,9.279799489359132,-1.818794016676929,4.556,False
-3.1825203554397525,-109.4539952038152,-6.365040710879505,-8.756319616305216,1397.067759192165,8.756319616305216,-1.767494943861034,4.556,False
-3.544457854046577,-106.58746283294005,-7.088915708093154,-8.526997026635204,1555.951647957233,8.526997026635204,-1.735499763672787,4.556,False
-3.580479304765496,-106.4117279146167,-7.160958609530992,-8.512938233169336,1571.7644006872238,8.512938233169336,-1.7381056501085734,4.556,False
-3.308790475969677,-106.97692212674438,-6.617580951939354,-8.558153770139551,1452.4980140340988,8.558153770139551,-1.7482513812877916,4.556,False
-0.5202313212765116,-108.59500626159377,-1.0404626425530232,-8.687600500927502,228.37195841813505,8.687600500927502,-1.7610125116797526,4.556,False
-3.700622342943443,-115.9173050301899,-7.401244685886886,-9.273384402415191,1624.5049793430392,9.273384402415191,-1.8167350008268002,4.556,False
-3.6648029462146914,-122.1760457218853,-7.329605892429383,-9.774083657750824,1608.7809245894166,9.774083657750824,-1.8659642600069544,4.556,False
-3.177257849999837,-125.59766937182405,-6.354515699999674,-10.047813549745925,1394.7576163300425,10.047813549745925,-1.8928069518118817,4.556,False
-3.2871873671816885,-126.5117558971445,-6.574374734363377,-10.12094047177156,1443.014647577563,10.12094047177156,-1.8926558521070085,4.556,False
